pass	rgb	class	aabb	detail	path
0	232,56,8	MultiMeshInstance3D	5.9x2.6x0.1	instances=6;mesh=;mat=StandardMaterial3D@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/@MultiMeshInstance3D@283
0	248,56,8	MultiMeshInstance3D	0.1x3.1x0.2	instances=4;mesh=;mat=StandardMaterial3D@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/@MultiMeshInstance3D@284
0	8,72,8	MeshInstance3D	0.0x0.4x0.4	mat=ShaderMaterial;mat=ShaderMaterial	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/Screen
0	24,72,8	MeshInstance3D	0.0x0.1x0.6	mat=StandardMaterial3D@0.478,0.125,0.094;mat=StandardMaterial3D@0.478,0.125,0.094	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@957
0	40,72,8	MeshInstance3D	0.1x0.0x0.1	mat=StandardMaterial3D@0.800,0.740,0.500;mat=StandardMaterial3D@0.800,0.740,0.500	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@961
0	56,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@962
0	72,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@963
0	88,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@964
0	104,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@965
0	120,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@966
0	136,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@967
0	152,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@968
0	168,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@969
0	184,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@970
0	200,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@971
0	216,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@972
0	232,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.100,0.090,0.080;mat=StandardMaterial3D@0.100,0.090,0.080	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@973
0	248,72,8	MeshInstance3D	0.0x0.0x0.0	mat=StandardMaterial3D@0.090,0.070,0.060;mat=StandardMaterial3D@0.090,0.070,0.060	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@974
0	8,88,8	MeshInstance3D	0.1x0.0x0.0	mat=StandardMaterial3D@0.760,0.680,0.380;mat=StandardMaterial3D@0.760,0.680,0.380	StreetIdShot/OrisonRoot/B1/Arcade_b1_laundry_cab/@MeshInstance3D@975
0	24,88,8	MeshInstance3D	0.7x0.7x0.0	mat=StandardMaterial3D@1.000,1.000,1.000;mat=StandardMaterial3D@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/MemoryArt_basement_know_your_exit/@MeshInstance3D@24938
0	40,88,8	MeshInstance3D	0.8x0.0x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_basement_know_your_exit/@MeshInstance3D@24939
0	56,88,8	MeshInstance3D	0.8x0.0x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_basement_know_your_exit/@MeshInstance3D@24940
0	72,88,8	MeshInstance3D	0.0x0.7x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_basement_know_your_exit/@MeshInstance3D@24941
0	88,88,8	MeshInstance3D	0.0x0.7x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_basement_know_your_exit/@MeshInstance3D@24942
0	104,88,8	MeshInstance3D	0.7x0.7x0.0	mat=StandardMaterial3D@1.000,1.000,1.000;mat=StandardMaterial3D@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/MemoryArt_laundry_black_cherry/@MeshInstance3D@25130
0	120,88,8	MeshInstance3D	0.8x0.0x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_laundry_black_cherry/@MeshInstance3D@25131
0	136,88,8	MeshInstance3D	0.8x0.0x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_laundry_black_cherry/@MeshInstance3D@25132
0	152,88,8	MeshInstance3D	0.0x0.7x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_laundry_black_cherry/@MeshInstance3D@25133
0	168,88,8	MeshInstance3D	0.0x0.7x0.0	mat=StandardMaterial3D@0.055,0.050,0.045;mat=StandardMaterial3D@0.055,0.050,0.045	StreetIdShot/OrisonRoot/B1/MemoryArt_laundry_black_cherry/@MeshInstance3D@25134
0	184,88,8	MeshInstance3D	27.3x0.0x19.3	mat=M_plaster_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_ceiling_plaster
0	200,88,8	MeshInstance3D	21.4x0.0x13.5	mat=M_plaster_stained_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_ceiling_plaster_stained
0	216,88,8	MeshInstance3D	10.7x0.0x12.9	mat=M_tin_ceiling_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_ceiling_tin_ceiling
0	232,88,8	MeshInstance3D	27.3x18.6x19.8	mat=M_metal_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_facade_rainwater
0	248,88,8	MeshInstance3D	21.4x0.0x13.5	mat=M_ceramic_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_floors_ceramic
0	8,104,8	MeshInstance3D	6.5x0.0x3.5	mat=M_concrete_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_floors_concrete
0	24,104,8	MeshInstance3D	27.3x0.0x19.3	mat=M_floor_oak_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_floors_floor_oak
0	40,104,8	MeshInstance3D	10.7x0.0x12.9	mat=M_terrazzo_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_floors_terrazzo
0	56,104,8	MeshInstance3D	17.3x2.6x45.6	mat=M_bakelite_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_bakelite
0	72,104,8	MeshInstance3D	22.7x3.9x44.8	mat=M_bakelite_black@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_bakelite_black
0	88,104,8	MeshInstance3D	18.9x1.6x4.9	mat=M_book_brown@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_brown
0	104,104,8	MeshInstance3D	18.9x1.6x4.9	mat=M_book_burgundy@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_burgundy
0	120,104,8	MeshInstance3D	18.8x1.6x4.9	mat=M_book_green@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_green
0	136,104,8	MeshInstance3D	18.9x1.6x4.9	mat=M_book_navy@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_navy
0	152,104,8	MeshInstance3D	19.0x1.6x4.9	mat=M_book_ochre@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_ochre
0	168,104,8	MeshInstance3D	18.9x2.9x31.9	mat=M_book_teal@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_book_teal
0	184,104,8	MeshInstance3D	26.7x6.1x44.3	mat=M_brass_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_brass
0	200,104,8	MeshInstance3D	21.4x2.3x39.9	mat=M_brass_bright@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_brass_bright
0	216,104,8	MeshInstance3D	153.8x46.9x132.9	mat=M_brass_dull@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_brass_dull
0	232,104,8	MeshInstance3D	0.8x0.4x0.0	mat=M_brass_mesh@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_brass_mesh
0	248,104,8	MeshInstance3D	154.6x30.9x133.9	mat=M_bronze@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_bronze
0	8,120,8	MeshInstance3D	13.8x5.2x2.3	mat=M_cast_iron_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_cast_iron
0	24,120,8	MeshInstance3D	0.1x0.1x0.1	mat=M_ceramic_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_ceramic
0	40,120,8	MeshInstance3D	19.2x3.6x44.5	mat=M_chrome_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_chrome
0	56,120,8	MeshInstance3D	8.8x0.1x1.1	mat=M_concrete_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_concrete
0	72,120,8	MeshInstance3D	18.2x0.1x9.6	mat=M_countertop_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_countertop
0	88,120,8	MeshInstance3D	15.8x3.5x45.6	mat=M_enamel_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_enamel
0	104,120,8	MeshInstance3D	17.5x4.3x44.8	mat=M_fabric_cool_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_fabric_cool
0	120,120,8	MeshInstance3D	15.4x1.4x5.2	mat=M_fabric_green_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_fabric_green
0	136,120,8	MeshInstance3D	26.4x3.3x34.5	mat=M_fabric_warm_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_fabric_warm
0	152,120,8	MeshInstance3D	0.0x0.1x0.2	mat=M_felt_violet_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_felt_violet
0	168,120,8	MeshInstance3D	23.6x3.9x42.9	mat=M_floor_oak_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_floor_oak
0	184,120,8	MeshInstance3D	0.1x1.0x5.5	mat=M_handrail_wood_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_handrail_wood
0	200,120,8	MeshInstance3D	0.0x0.2x0.0	mat=M_lacquer_red_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_lacquer_red
0	216,120,8	MeshInstance3D	26.3x2.7x33.4	mat=M_linen_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_linen
0	232,120,8	MeshInstance3D	202.4x56.2x148.8	mat=M_metal_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_metal
0	248,120,8	MeshInstance3D	16.1x3.5x45.3	mat=M_milk_glass@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_milk_glass
0	8,136,8	MeshInstance3D	17.1x0.1x9.5	mat=M_nickel_plated@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_nickel_plated
0	24,136,8	MeshInstance3D	13.0x4.7x44.1	mat=M_oak_quartered@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_oak_quartered
0	40,136,8	MeshInstance3D	31.5x1.9x27.2	mat=M_paper_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_paper
0	56,136,8	MeshInstance3D	14.1x3.4x28.3	mat=M_plant_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_plant
0	72,136,8	MeshInstance3D	0.8x0.0x0.5	mat=M_plywood_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_plywood
0	88,136,8	MeshInstance3D	22.7x3.9x45.7	mat=M_porcelain_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_porcelain
0	104,136,8	MeshInstance3D	39.4x1.9x18.0	mat=M_safety_orange_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_safety_orange
0	120,136,8	MeshInstance3D	15.9x3.1x44.7	mat=M_screen@0.293,0.313,0.332	StreetIdShot/OrisonRoot/F01/F01_furnish_screen
0	136,136,8	MeshInstance3D	14.2x3.0x28.6	mat=M_soil_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_soil
0	152,136,8	MeshInstance3D	39.4x7.0x45.4	mat=M_soot_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_soot
0	168,136,8	MeshInstance3D	0.0x0.1x0.2	mat=M_stairwell_teal_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_stairwell_teal
0	184,136,8	MeshInstance3D	17.3x4.6x45.6	mat=M_terracotta_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_terracotta
0	200,136,8	MeshInstance3D	184.6x53.4x138.0	mat=M_timber_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_timber
0	216,136,8	MeshInstance3D	39.3x5.0x45.5	mat=M_trim_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_trim
0	232,136,8	MeshInstance3D	4.6x0.1x0.4	mat=M_vinyl_oxblood_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_vinyl_oxblood
0	248,136,8	MeshInstance3D	27.3x4.5x45.0	mat=M_wood_dark_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furnish_wood_dark
0	8,152,8	MeshInstance3D	23.7x3.7x35.9	mat=M_art@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_art
0	24,152,8	MeshInstance3D	220.0x0.3x148.0	mat=M_asphalt_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_asphalt
0	40,152,8	MeshInstance3D	4.7x1.6x9.5	mat=M_brass_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_brass
0	56,152,8	MeshInstance3D	19.5x0.0x12.8	mat=M_brass_dull@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_brass_dull
0	72,152,8	MeshInstance3D	145.7x18.8x49.5	mat=M_brass_mesh@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_brass_mesh
0	88,152,8	MeshInstance3D	116.0x12.3x62.7	mat=M_brick_patched_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_brick_patched
0	104,152,8	MeshInstance3D	212.4x40.8x164.4	mat=M_bronze@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_bronze
0	120,152,8	MeshInstance3D	0.3x0.4x0.3	mat=M_ceramic_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_ceramic
0	136,152,8	MeshInstance3D	21.2x0.0x12.2	mat=M_chrome_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_chrome
0	152,152,8	MeshInstance3D	194.0x40.8x126.0	mat=M_common_brick_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_common_brick
0	168,152,8	MeshInstance3D	124.0x6.2x62.7	mat=M_concrete_b@1.000,1.000,1.000	StreetIdShot/OrisonRoot/F01/F01_furniture_concrete
